
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:28:53:7A:0F:C6, 2019-07-08 13:58:47, 2019-07-08 13:59:29,  9,  54, WPA2, CCMP,PSK, -72,        3,        0,   0.  0.  0.  0,   7, wuliqun, 
4C:D1:A1:EC:AA:6D, 2019-07-08 13:57:55, 2019-07-08 14:01:08,  1,  54, WPA2, CCMP,PSK, -67,       20,        0,   0.  0.  0.  0,   0, , 
04:40:A9:2E:F1:1E, 2019-07-08 13:58:09, 2019-07-08 14:01:15,  1,  54, WPA2, CCMP TKIP,PSK, -73,        9,        0,   0.  0.  0.  0,   8, Danke404, 
34:CE:00:40:A7:F6, 2019-07-08 13:57:55, 2019-07-08 13:59:33,  1,  54, WPA2, CCMP TKIP,PSK, -72,       10,        0,   0.  0.  0.  0,  11, dandan15888, 
4C:D1:A1:EC:AA:6C, 2019-07-08 13:57:55, 2019-07-08 14:01:08,  1,  54, WPA2, CCMP,PSK, -65,       19,        4,   0.  0.  0.  0,   6, chenwy, 
D4:9E:05:20:0F:1F, 2019-07-08 13:57:58, 2019-07-08 14:01:11,  9,  54, WPA2, CCMP,PSK, -72,       16,        0,   0.  0.  0.  0,   7, CU_3eYR, 
4C:D1:A1:EC:AA:71, 2019-07-08 13:58:22, 2019-07-08 14:01:15,  1,  54, WPA2, CCMP,PSK, -71,       18,        0,   0.  0.  0.  0,   0, , 
C8:3A:35:C9:81:D8, 2019-07-08 13:57:59, 2019-07-08 14:01:06, 10,  54, WPA2, CCMP,PSK, -76,       23,       10,   0.  0.  0.  0,   2, zy, 
30:B4:9E:10:3F:94, 2019-07-08 13:57:55, 2019-07-08 13:58:57,  1,  54, WPA2 WPA, CCMP,PSK, -70,        7,        0,   0.  0.  0.  0,   3, 888, 
80:89:17:9B:36:7C, 2019-07-08 13:57:55, 2019-07-08 14:01:01,  1,  54, WPA2 WPA, CCMP,PSK, -72,       19,        0,   0.  0.  0.  0,  12, TP-LINK_367C, 
EC:6C:9F:9F:ED:79, 2019-07-08 13:58:36, 2019-07-08 13:59:52,  6,  54, WPA2, CCMP,PSK, -70,        8,        0,   0.  0.  0.  0,   8, PKUFI-CY, 
BC:54:FC:7F:5D:AB, 2019-07-08 13:58:16, 2019-07-08 14:01:02, 13,  54, WPA2, CCMP,PSK, -69,        3,        5,   0.  0.  0.  0,   7, \xE7\xA7.\xE6..1, 
78:44:FD:5B:D1:40, 2019-07-08 13:58:14, 2019-07-08 14:00:53, 11,  54, WPA2 WPA, CCMP,PSK, -72,       24,        0,   0.  0.  0.  0,  12, TP-LINK_D140, 
34:CE:00:35:F6:C8, 2019-07-08 13:58:12, 2019-07-08 14:01:05,  4,  54, WPA2, CCMP TKIP,PSK, -69,       26,       17,   0.  0.  0.  0,   3, 603, 
D4:EE:07:2E:F8:AC, 2019-07-08 13:58:02, 2019-07-08 14:01:08,  7,  54, WPA2, CCMP,PSK, -69,       29,        0,   0.  0.  0.  0,  13, HiWiFi_2EF8AC, 
40:31:3C:0D:58:C5, 2019-07-08 13:58:28, 2019-07-08 13:59:51,  5,  54, WPA2, CCMP TKIP,PSK, -68,        7,       15,   0.  0.  0.  0,   4, scxt, 
A4:9B:4F:AC:B2:20, 2019-07-08 13:58:37, 2019-07-08 13:58:37,  1,  54, WPA2, CCMP,PSK, -68,        1,        0,   0.  0.  0.  0,  20, HUAWEI-LSE2WQ_HiLink, 
C4:36:55:43:70:9B, 2019-07-08 13:58:12, 2019-07-08 14:00:38,  4,  54, WPA2, CCMP,PSK, -69,       19,        2,   0.  0.  0.  0,   6, GX-360, 
50:BD:5F:AE:A7:A2, 2019-07-08 13:58:14, 2019-07-08 14:01:14,  6,  54, WPA2 WPA, CCMP,PSK, -64,       28,        0,   0.  0.  0.  0,   3, lyb, 
A4:56:02:3B:12:75, 2019-07-08 13:57:58, 2019-07-08 14:01:11,  9,  54, WPA2, CCMP,PSK, -67,       36,       10,   0.  0.  0.  0,  14, 360WiFi-3B1275, 
9C:32:A9:73:03:31, 2019-07-08 13:58:00, 2019-07-08 14:00:46, 11,  54, WPA2, CCMP,PSK, -64,       22,        0,   0.  0.  0.  0,   7, CU_AmGA, 
FC:D7:33:CA:11:6C, 2019-07-08 13:58:21, 2019-07-08 14:00:54,  6,  54, WPA2 WPA, CCMP,PSK, -72,       12,        0,   0.  0.  0.  0,   4, 0000, 
A4:56:02:3B:12:78, 2019-07-08 13:57:58, 2019-07-08 14:01:12,  9,  54, OPN, ,   , -69,       33,        9, 192.168.  0.  1,  22, 360\xE6.\xA9\xE6.\xA6\xE4\xB8.\xE7\xBD.-3b1278, 
D0:76:E7:50:13:54, 2019-07-08 13:58:00, 2019-07-08 14:01:14, 11,  54, WPA2, CCMP,PSK, -65,       37,        1,   0.  0.  0.  0,  11, TP-LINK_702, 
B8:08:D7:71:D4:A8, 2019-07-08 13:57:59, 2019-07-08 14:01:00, 11,  54, WPA2, CCMP,PSK, -74,       35,        1,   0.  0.  0.  0,  13, SungoaStudios, 
BC:54:FC:01:75:FC, 2019-07-08 13:57:59, 2019-07-08 14:01:12, 10,  54, WPA2, CCMP,PSK, -69,       25,        2,   0.  0.  0.  0,   3, wdm, 
88:25:93:30:CA:94, 2019-07-08 13:58:01, 2019-07-08 14:00:54,  6,  54, WPA2 WPA, CCMP,PSK, -70,       17,        0,   0.  0.  0.  0,   4, mmii, 
78:44:FD:B2:E2:EB, 2019-07-08 13:58:00, 2019-07-08 14:01:13, 11,  54, WPA2, CCMP,PSK, -72,       40,        1,   0.  0.  0.  0,  15, TP-LINK_YYYYYYY, 
CC:08:FB:12:0F:EE, 2019-07-08 13:57:55, 2019-07-08 14:01:15,  1,  54, WPA2 WPA, CCMP,PSK, -63,       22,        2,   0.  0.  0.  0,   3, yjt, 
D0:76:E7:14:E8:08, 2019-07-08 13:57:55, 2019-07-08 14:01:08,  1,  54, WPA2, CCMP,PSK, -65,       39,        0,   0.  0.  0.  0,  10, ziroom1202, 
24:69:68:62:87:86, 2019-07-08 13:58:08, 2019-07-08 14:01:15,  1,  54, WPA2 WPA, CCMP,PSK, -67,       35,        2,   0.  0.  0.  0,  12, TP-LINK_8786, 
9C:32:A9:73:10:91, 2019-07-08 13:57:55, 2019-07-08 14:01:15,  1,  54, WPA2, CCMP,PSK, -61,       23,        0,   0.  0.  0.  0,   7, CU_DXJP, 
BC:D1:77:DC:C2:8E, 2019-07-08 13:57:55, 2019-07-08 14:01:08,  1,  22, WPA2 WPA, CCMP,PSK, -64,       18,        0,   0.  0.  0.  0,  14, TP-LINK_DCC28E, 
B8:F8:83:E2:A8:71, 2019-07-08 13:57:55, 2019-07-08 14:01:15,  1,  54, WPA2, CCMP TKIP,PSK, -65,       43,        0,   0.  0.  0.  0,  15, \xE5..\xE5\xA4.\xE4\xB8\xBD\xE5.\xAD903, 
78:44:FD:1B:0A:14, 2019-07-08 13:57:55, 2019-07-08 14:01:14,  6,  54, WPA2, CCMP TKIP,PSK, -66,       30,      368,   0.  0.  0.  0,  13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
34:96:72:27:1C:9C, 2019-07-08 13:57:55, 2019-07-08 14:01:15,  1,  54, WPA2 WPA, CCMP,PSK, -56,       43,        3,   0.  0.  0.  0,  14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G3, 
78:44:FD:DD:04:5A, 2019-07-08 13:58:00, 2019-07-08 14:01:14, 11,  54, WPA2, CCMP TKIP,PSK, -58,       42,       76,   0.  0.  0.  0,  13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
78:44:FD:1B:0D:84, 2019-07-08 13:58:07, 2019-07-08 14:01:13, 11,  54, WPA2, CCMP TKIP,PSK, -54,       49,      202,   0.  0.  0.  0,  13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
34:96:72:26:47:BC, 2019-07-08 13:58:01, 2019-07-08 14:01:14,  6,  54, WPA2 WPA, CCMP,PSK, -59,       47,       79,   0.  0.  0.  0,  14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G4, 
28:2C:B2:B5:48:DA, 2019-07-08 13:58:00, 2019-07-08 14:01:13, 11,  54, WPA2 WPA, CCMP,PSK, -45,       62,        0,   0.  0.  0.  0,  11, \xC9\xBD\xCB\xAE\xCF\xEF2.4G2, 
44:48:C1:1A:16:90, 2019-07-08 13:57:55, 2019-07-08 14:01:17,  1,  54, WPA, TKIP,PSK, -32,       75,        0,   0.  0.  0.  0,   7, sfddwrt, 
5C:63:BF:E2:BB:FA, 2019-07-08 13:57:57, 2019-07-08 14:01:18,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -34,       54,        8,   0.  0.  0.  0,  14, TP-LINK_E2BBFA, 
FC:D7:33:E7:1B:78, 2019-07-08 13:57:55, 2019-07-08 14:01:15,  1,  54, WPA2 WPA, CCMP,PSK, -35,       54,       29,   0.  0.  0.  0,  14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G1, 
FE:01:7C:78:D1:70, 2019-07-08 13:58:01, 2019-07-08 14:01:14,  6,  54, WPA2, CCMP,PSK, -25,       48,        0,   0.  0.  0.  0,  26, DIRECT-70-HP M130 LaserJet, 
58:EF:68:C0:E4:D5, 2019-07-08 13:58:41, 2019-07-08 13:58:41,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
64:13:6C:B0:1C:6D, 2019-07-08 13:58:49, 2019-07-08 13:59:51,  5,  54, WPA2, CCMP,PSK, -71,        4,        0,   0.  0.  0.  0,   7, CU_CGAt, 
00:5A:13:50:DC:40, 2019-07-08 13:58:50, 2019-07-08 14:00:55,  1,  54, WPA2, CCMP,PSK, -71,        8,        0,   0.  0.  0.  0,   3, 905, 
A4:9B:4F:1E:78:30, 2019-07-08 13:58:56, 2019-07-08 13:58:56, 11,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
78:44:FD:E3:7E:E7, 2019-07-08 13:58:56, 2019-07-08 13:59:45, 11,  54, WPA2, CCMP,PSK, -73,        2,        0,   0.  0.  0.  0,  10, ziroom1001, 
1C:60:DE:42:52:A8, 2019-07-08 13:59:03, 2019-07-08 13:59:03, 11,  54, WPA2 WPA, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  12, MERCURY_1101, 
DC:71:37:2E:AA:07, 2019-07-08 13:59:08, 2019-07-08 14:00:38,  9,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
BC:54:FC:2F:58:F2, 2019-07-08 13:59:10, 2019-07-08 14:00:46, 11,  54, WPA2, CCMP,PSK, -73,        5,        0,   0.  0.  0.  0,  12, MERCURY_58F2, 
30:FC:68:C5:54:19, 2019-07-08 13:59:10, 2019-07-08 14:01:07, 11,  54, WPA2 WPA, CCMP,PSK, -72,        7,        1,   0.  0.  0.  0,  12, TP-LINK_5419, 
C8:3A:35:52:FC:18, 2019-07-08 13:59:15, 2019-07-08 14:00:23,  3,  54, WPA2 WPA, CCMP,PSK, -70,        0,        0,   0.  0.  0.  0,   2, LL, 
B0:95:8E:8E:86:A7, 2019-07-08 13:59:27, 2019-07-08 13:59:55,  2,  -1, WPA, ,   ,  -1,        0,      266,   0.  0.  0.  0,   0, , 
D8:32:14:D7:1D:C0, 2019-07-08 13:59:27, 2019-07-08 13:59:27,  2,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,   4, 1202, 
F4:EC:38:49:5B:0A, 2019-07-08 13:59:33, 2019-07-08 13:59:33,  1,  54, WPA2 WPA, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,  14, TP-LINK_495B0A, 
20:F1:7C:6E:FA:80, 2019-07-08 13:59:33, 2019-07-08 13:59:33,  7,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,   7, CU_eY3P, 
B0:95:8E:1A:83:1A, 2019-07-08 13:59:38, 2019-07-08 13:59:38, 11,  54, WPA2, CCMP TKIP,PSK, -74,        1,        0,   0.  0.  0.  0,   5, Kevin, 
BC:46:99:27:F8:A2, 2019-07-08 13:59:46, 2019-07-08 13:59:46,  6,  54, WPA2 WPA, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  12, TP-LINK_F8A2, 
04:40:A9:2E:F1:1C, 2019-07-08 14:00:14, 2019-07-08 14:00:14,  1,  54, OPN, ,   , -74,        1,        0,   0.  0.  0.  0,   0, , 
C4:F0:81:6D:01:F4, 2019-07-08 14:00:21, 2019-07-08 14:00:21,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:6B:E7:45:CA:46, 2019-07-08 14:00:46, 2019-07-08 14:00:46, 11,  54, WPA2 WPA, CCMP,PSK, -76,        1,        0,   0.  0.  0.  0,   6, CU_403, 
74:DA:DA:E3:D3:97, 2019-07-08 14:00:48, 2019-07-08 14:00:48,  1,  54, WPA2, CCMP TKIP,PSK, -74,        1,        0,   0.  0.  0.  0,  17, D-Link_DIR-816_24, 
78:44:FD:1B:0E:C4, 2019-07-08 14:00:54, 2019-07-08 14:00:54,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:27:B5:20, 2019-07-08 13:58:43, 2019-07-08 13:58:43, -76,        1, (not associated) ,
1C:48:CE:06:36:A9, 2019-07-08 13:58:00, 2019-07-08 13:58:00, -72,        2, 70:AF:6A:21:A9:4B,
BA:EC:C8:47:C6:ED, 2019-07-08 13:58:12, 2019-07-08 13:58:12, -70,        1, (not associated) ,
AC:07:5F:BE:7A:BD, 2019-07-08 13:58:21, 2019-07-08 14:01:07, -74,        4, 28:2C:B2:B5:48:DA,
38:AF:29:89:80:9C, 2019-07-08 13:57:56, 2019-07-08 14:01:08, -74,       24, (not associated) ,zj
C6:B2:28:90:F9:0D, 2019-07-08 13:57:57, 2019-07-08 13:57:57, -68,        1, (not associated) ,
E2:EB:2D:7C:B9:ED, 2019-07-08 13:58:01, 2019-07-08 13:58:01, -68,        1, (not associated) ,
64:9A:BE:92:29:7F, 2019-07-08 13:58:24, 2019-07-08 13:58:24, -66,        1, BC:D1:77:DC:C2:8E,
82:B2:06:64:BA:6E, 2019-07-08 13:58:38, 2019-07-08 14:00:01, -64,        2, (not associated) ,
CE:54:83:22:B4:30, 2019-07-08 13:58:44, 2019-07-08 13:58:44, -66,        1, (not associated) ,
DE:D7:39:68:F1:FF, 2019-07-08 13:58:03, 2019-07-08 13:58:03, -64,        2, (not associated) ,
C6:14:1D:CE:BB:17, 2019-07-08 13:58:20, 2019-07-08 13:58:20, -64,        1, (not associated) ,
F0:6E:0B:DD:95:41, 2019-07-08 13:58:41, 2019-07-08 13:58:41, -64,        2, 58:EF:68:C0:E4:D5,
3C:2E:F9:11:1F:77, 2019-07-08 13:58:30, 2019-07-08 13:58:30, -62,        1, 34:96:72:27:1C:9C,
D0:FF:98:23:99:A8, 2019-07-08 13:58:14, 2019-07-08 13:59:59, -62,        5, 34:96:72:26:47:BC,
1C:DA:27:9C:A2:50, 2019-07-08 13:58:06, 2019-07-08 14:01:09,  -6,       30, 5C:63:BF:E2:BB:FA,
30:07:4D:CA:09:F2, 2019-07-08 13:58:02, 2019-07-08 13:58:03, -54,        4, (not associated) ,
84:73:03:61:49:2E, 2019-07-08 13:57:55, 2019-07-08 14:01:14, -38,      429, 78:44:FD:1B:0A:14,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G
1C:C3:EB:5B:72:99, 2019-07-08 13:58:01, 2019-07-08 14:01:14, -60,       71, 34:96:72:26:47:BC,
E4:47:90:CA:D2:3D, 2019-07-08 13:58:35, 2019-07-08 14:00:46,  -1,       43, 78:44:FD:1B:0D:84,
7C:76:68:F4:55:8E, 2019-07-08 13:58:38, 2019-07-08 13:58:38,  -1,        1, BC:54:FC:7F:5D:AB,
00:EC:0A:80:05:1A, 2019-07-08 13:58:49, 2019-07-08 14:00:13,  -1,       11, 78:44:FD:1B:0A:14,
B0:55:08:EF:19:40, 2019-07-08 13:58:50, 2019-07-08 13:58:50, -68,        1, (not associated) ,
34:2E:B6:A4:21:CB, 2019-07-08 13:58:55, 2019-07-08 13:58:55,  -1,        2, 78:44:FD:DD:04:5A,
9C:B2:B2:87:B6:91, 2019-07-08 13:58:56, 2019-07-08 13:58:56, -74,        2, A4:9B:4F:1E:78:30,
60:21:01:40:59:A1, 2019-07-08 13:58:56, 2019-07-08 13:59:03, -76,        3, 78:44:FD:1B:0D:84,DIRECT-3v-9xAAAAMTYwNy1BMDE,DIRECT-zA-9xAAAAMTYwNy1BMDE
2C:A9:F0:5C:32:79, 2019-07-08 13:59:04, 2019-07-08 14:00:00, -60,       21, FC:D7:33:E7:1B:78,
DA:A1:19:97:7C:A3, 2019-07-08 13:59:06, 2019-07-08 13:59:06, -74,        1, (not associated) ,
9C:0C:DF:EE:51:F1, 2019-07-08 13:59:08, 2019-07-08 14:00:38, -74,        7, DC:71:37:2E:AA:07,
10:4A:7D:A1:2A:57, 2019-07-08 13:59:08, 2019-07-08 14:01:08, -18,        2, (not associated) ,
94:D0:29:76:BB:BB, 2019-07-08 13:59:10, 2019-07-08 13:59:10,  -1,        5, 78:44:FD:1B:0D:84,
9C:B2:B2:C9:84:3F, 2019-07-08 13:59:10, 2019-07-08 13:59:10, -72,        1, B8:08:D7:71:D4:A8,
2C:20:0B:2D:5F:A9, 2019-07-08 13:59:12, 2019-07-08 14:00:01, -66,        6, FC:D7:33:E7:1B:78,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G1
DA:A1:19:42:C6:82, 2019-07-08 13:59:12, 2019-07-08 13:59:12, -38,        2, (not associated) ,
2C:5B:B8:79:05:6C, 2019-07-08 13:59:17, 2019-07-08 13:59:17, -76,        1, (not associated) ,
4C:BB:58:76:01:F1, 2019-07-08 13:59:17, 2019-07-08 13:59:17, -56,        1, (not associated) ,
E4:9A:DC:2E:D0:D3, 2019-07-08 13:59:25, 2019-07-08 13:59:25,  -1,        1, 40:31:3C:0D:58:C5,
C0:F4:E6:5A:55:27, 2019-07-08 13:59:27, 2019-07-08 14:01:14, -66,      469, 78:44:FD:1B:0A:14,
FA:EB:FC:7D:29:3B, 2019-07-08 13:59:31, 2019-07-08 13:59:31, -72,        1, (not associated) ,
44:66:FC:86:B1:75, 2019-07-08 13:59:36, 2019-07-08 13:59:36, -72,        1, DC:71:37:2E:AA:07,
DA:A1:19:0B:DD:97, 2019-07-08 13:59:49, 2019-07-08 14:00:13, -62,       13, (not associated) ,TP-LINK_A1C5,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G
30:A1:FA:76:24:53, 2019-07-08 13:59:50, 2019-07-08 14:01:08, -46,        8, 34:96:72:27:1C:9C,
42:7B:DA:FE:B2:70, 2019-07-08 13:59:54, 2019-07-08 13:59:54, -76,        1, (not associated) ,
2C:5D:34:2B:CF:93, 2019-07-08 14:00:05, 2019-07-08 14:00:59, -76,        2, BC:54:FC:01:75:FC,
34:CE:00:A2:8B:34, 2019-07-08 14:00:21, 2019-07-08 14:00:56, -76,        3, (not associated) ,903
46:86:92:41:C8:CC, 2019-07-08 14:00:23, 2019-07-08 14:00:23, -68,        1, (not associated) ,
00:07:A8:BF:96:BA, 2019-07-08 14:00:28, 2019-07-08 14:00:28, -62,        2, (not associated) ,\xE9\xAD.\xE8..
88:6A:B1:F1:8A:4B, 2019-07-08 14:00:28, 2019-07-08 14:01:11, -56,       13, (not associated) ,
A8:7D:12:2A:6E:BD, 2019-07-08 14:00:33, 2019-07-08 14:00:33, -46,        1, 28:2C:B2:B5:48:DA,
AE:AE:AA:99:9A:F8, 2019-07-08 14:00:49, 2019-07-08 14:00:49, -72,        1, (not associated) ,
DA:A1:19:3E:C5:C4, 2019-07-08 14:00:50, 2019-07-08 14:00:50, -62,        1, (not associated) ,
24:F6:77:45:D3:96, 2019-07-08 14:00:53, 2019-07-08 14:00:53, -74,        2, 78:44:FD:DD:04:5A,
64:09:80:24:EF:54, 2019-07-08 14:00:56, 2019-07-08 14:00:56, -64,        1, (not associated) ,KEMP
3C:CD:5D:1E:D5:4F, 2019-07-08 14:01:01, 2019-07-08 14:01:01, -70,        3, (not associated) ,fanyuli
94:87:E0:57:6F:F9, 2019-07-08 14:01:03, 2019-07-08 14:01:03, -70,        2, BC:D1:77:DC:C2:8E,
CC:08:FB:31:6B:A5, 2019-07-08 14:01:07, 2019-07-08 14:01:07, -70,        1, 30:FC:68:C5:54:19,
DA:A1:19:00:C6:69, 2019-07-08 14:01:17, 2019-07-08 14:01:17, -38,        4, (not associated) ,sfddwrt

