
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B6:46:99:27:F8:A2, 2019-07-08 13:27:54, 2019-07-08 13:29:23,  6,  54, WPA2 WPA, CCMP,PSK, -71,        3,        0,   0.  0.  0.  0,  12, TPGuest_F8A2, 
14:69:A2:2C:DD:69, 2019-07-08 13:27:56, 2019-07-08 13:33:51,  2,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
20:6B:E7:45:CA:46, 2019-07-08 13:28:07, 2019-07-08 13:32:18, 11,  54, WPA2 WPA, CCMP,PSK, -74,        6,        0,   0.  0.  0.  0,   6, CU_403, 
9C:A6:15:1D:68:79, 2019-07-08 13:28:29, 2019-07-08 13:28:29,  7,  -1, WPA, ,   , -74,        0,        1,   0.  0.  0.  0,   0, , 
D4:EE:07:67:B7:C4, 2019-07-08 13:28:31, 2019-07-08 13:31:23,  8,  54, WPA2, CCMP,PSK, -71,        6,        0,   0.  0.  0.  0,   9, Danke-601, 
D6:EE:07:67:B7:C5, 2019-07-08 13:28:31, 2019-07-08 13:33:03,  8,  54, WPA2, CCMP,PSK, -74,        6,        0,   0.  0.  0.  0,   0, , 
A4:9B:4F:23:F0:A0, 2019-07-08 13:28:36, 2019-07-08 13:28:36,  1,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,   7, bainana, 
BC:54:FC:E6:97:67, 2019-07-08 13:29:08, 2019-07-08 13:29:08, 11,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  12, MERCURY_9767, 
08:57:00:72:80:80, 2019-07-08 13:29:23, 2019-07-08 13:31:13, 12,  54, WPA2 WPA, CCMP,PSK, -75,        2,        0,   0.  0.  0.  0,   3, 407, 
7C:C3:85:91:A9:20, 2019-07-08 13:29:26, 2019-07-08 13:33:59,  9,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   7, CU_46gF, 
B0:95:8E:5B:F8:8F, 2019-07-08 13:29:40, 2019-07-08 13:29:40,  1,  54, WPA2 WPA, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   9, \xE8\xB4\xA2\xE5.\xA1\xE5\xAE\xA4, 
80:89:17:0F:F3:6C, 2019-07-08 13:29:46, 2019-07-08 13:33:41,  6,  54, WPA2 WPA, CCMP,PSK, -71,        3,        1,   0.  0.  0.  0,  11, TP-LINK_fmc, 
BC:54:FC:7E:49:D7, 2019-07-08 13:31:13, 2019-07-08 13:31:13, 12,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
20:F1:7C:6E:FA:80, 2019-07-08 13:31:14, 2019-07-08 13:33:43,  7,  54, WPA2, CCMP,PSK, -72,        9,        0,   0.  0.  0.  0,   7, CU_eY3P, 
14:75:90:66:C1:7E, 2019-07-08 13:31:21, 2019-07-08 13:31:21,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D4:EE:07:5A:68:44, 2019-07-08 13:31:25, 2019-07-08 13:34:00,  4,  54, WPA2, CCMP,PSK, -71,       13,        0,   0.  0.  0.  0,   9, ziroom902, 
14:75:90:C0:A3:26, 2019-07-08 13:31:28, 2019-07-08 13:31:28,  6,  54, WPA2 WPA, CCMP,PSK, -76,        1,        0,   0.  0.  0.  0,   7, BCXX-NM, 
62:FE:A1:DA:4B:48, 2019-07-08 13:32:10, 2019-07-08 13:33:12,  4,  54, WPA2, CCMP,PSK, -74,        4,        0,   0.  0.  0.  0,   7, CU_SZYU, 
C4:F0:81:71:FC:B0, 2019-07-08 13:32:47, 2019-07-08 13:32:47, 11,  54, WPA2, CCMP,PSK, -76,        0,        0,   0.  0.  0.  0,  10, Angelahome, 
F4:83:CD:2F:2B:53, 2019-07-08 13:33:00, 2019-07-08 13:33:00, 11,  54, WPA2 WPA, CCMP,PSK, -74,        0,        0,   0.  0.  0.  0,   4, yang, 
0C:4B:54:97:75:D6, 2019-07-08 13:33:14, 2019-07-08 13:33:14,  6,  54, WPA2 WPA, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  12, TP-LINK_75D6, 
60:B6:17:9C:98:36, 2019-07-08 13:33:14, 2019-07-08 13:33:14, 12,  -1, WPA, ,   , -78,        0,        1,   0.  0.  0.  0,   0, , 
9C:32:A9:71:74:21, 2019-07-08 13:33:41, 2019-07-08 13:33:41, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:16:B2:81:4B:35, 2019-07-08 13:25:23, 2019-07-08 13:25:23,  -1,        6, 78:44:FD:DD:04:5A,
AE:00:78:DB:25:01, 2019-07-08 13:25:20, 2019-07-08 13:25:20, -38,        3, (not associated) ,
90:B2:1F:1F:AF:5D, 2019-07-08 13:25:24, 2019-07-08 13:25:24, -72,        5, BC:D1:77:DC:C2:8E,
28:AD:3E:78:4E:BF, 2019-07-08 13:25:19, 2019-07-08 13:27:34, -70,        3, 78:44:FD:1B:0E:C4,
4E:36:07:E4:67:47, 2019-07-08 13:24:58, 2019-07-08 13:24:58, -46,        1, (not associated) ,TP-LINK_8774
FE:65:F3:1D:88:36, 2019-07-08 13:25:00, 2019-07-08 13:25:00, -70,        1, (not associated) ,
4A:87:64:1D:25:A9, 2019-07-08 13:24:44, 2019-07-08 13:24:44, -30,        3, (not associated) ,
96:87:57:B1:FB:86, 2019-07-08 13:24:45, 2019-07-08 13:24:46, -40,        2, (not associated) ,
BE:D2:0B:D2:E3:B1, 2019-07-08 13:24:44, 2019-07-08 13:24:44, -52,        4, (not associated) ,TP-LINK_8774
44:04:44:D5:53:15, 2019-07-08 13:24:43, 2019-07-08 13:24:43, -72,        1, (not associated) ,
DA:99:9F:11:8B:A9, 2019-07-08 13:24:34, 2019-07-08 13:24:34, -56,        1, (not associated) ,
C2:B2:96:AC:B8:8D, 2019-07-08 13:24:35, 2019-07-08 13:24:35, -64,        2, (not associated) ,MuMu
88:F5:6E:88:8F:B0, 2019-07-08 13:24:32, 2019-07-08 13:24:32, -70,        1, DC:71:37:2E:AA:07,
00:28:F8:34:48:4C, 2019-07-08 13:24:24, 2019-07-08 13:33:24, -34,        5, (not associated) ,
EE:57:C8:27:3A:45, 2019-07-08 13:24:23, 2019-07-08 13:24:23, -54,        1, (not associated) ,
DA:A1:19:C8:99:55, 2019-07-08 13:24:24, 2019-07-08 13:24:24, -74,        1, (not associated) ,
EE:00:D2:8F:AC:6D, 2019-07-08 13:24:09, 2019-07-08 13:24:09, -58,        1, (not associated) ,
32:81:9E:B4:38:8E, 2019-07-08 13:23:58, 2019-07-08 13:23:58, -28,        1, (not associated) ,
84:73:03:61:49:2E, 2019-07-08 13:23:55, 2019-07-08 13:23:56, -48,       20, 78:44:FD:1B:0A:14,
3C:33:00:4A:4E:93, 2019-07-08 13:23:59, 2019-07-08 13:33:45, -68,        6, (not associated) ,
EA:A0:3B:FB:31:5C, 2019-07-08 13:24:05, 2019-07-08 13:24:05, -68,        2, (not associated) ,
DA:A1:19:07:13:AF, 2019-07-08 13:24:03, 2019-07-08 13:24:03, -54,        1, (not associated) ,
20:F7:7C:E8:93:13, 2019-07-08 13:24:17, 2019-07-08 13:24:17, -74,        1, (not associated) ,
06:A2:63:AF:F5:A0, 2019-07-08 13:24:16, 2019-07-08 13:24:16, -64,        1, (not associated) ,
7A:8A:33:64:D6:3E, 2019-07-08 13:24:13, 2019-07-08 13:24:13, -60,        1, (not associated) ,
9E:4A:09:AD:E1:8D, 2019-07-08 13:24:13, 2019-07-08 13:24:13, -34,        7, (not associated) ,TP-LINK_8774
DC:31:D1:22:7D:A5, 2019-07-08 13:24:29, 2019-07-08 13:24:29, -78,        1, (not associated) ,
3E:7F:46:F7:9B:D3, 2019-07-08 13:24:26, 2019-07-08 13:24:26, -52,        2, (not associated) ,
96:74:8F:6E:3C:55, 2019-07-08 13:24:27, 2019-07-08 13:24:27, -30,        3, (not associated) ,
F2:F1:0C:BA:81:CD, 2019-07-08 13:24:39, 2019-07-08 13:24:39, -70,        1, (not associated) ,
C0:F4:E6:5A:55:27, 2019-07-08 13:23:56, 2019-07-08 13:24:37, -60,       49, 78:44:FD:1B:0D:84,
DA:A1:19:0B:DD:97, 2019-07-08 13:24:37, 2019-07-08 13:24:37, -50,        1, (not associated) ,TP-LINK_A1C5
AA:58:66:AF:C9:F4, 2019-07-08 13:24:40, 2019-07-08 13:24:40, -28,        3, (not associated) ,
DA:A1:19:C3:34:AF, 2019-07-08 13:24:50, 2019-07-08 13:24:50, -74,        1, (not associated) ,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G
A6:C3:E6:74:AA:06, 2019-07-08 13:24:51, 2019-07-08 13:24:51, -50,       11, (not associated) ,TP-LINK_8774
DA:A1:19:0E:9A:F8, 2019-07-08 13:25:05, 2019-07-08 13:25:05, -76,        1, (not associated) ,99000
34:80:B3:78:A4:B9, 2019-07-08 13:25:04, 2019-07-08 13:25:04, -70,        2, BC:D1:77:DC:C2:8E,
1A:6C:03:2C:D2:8D, 2019-07-08 13:25:04, 2019-07-08 13:25:04, -48,        1, (not associated) ,
34:D7:12:9B:5B:0A, 2019-07-08 13:25:18, 2019-07-08 13:28:22,  -1,       38, BC:D1:77:DC:C2:8E,
F0:6E:0B:DD:95:41, 2019-07-08 13:24:26, 2019-07-08 13:32:45, -64,        7, 58:EF:68:C0:E4:D5,
80:BE:05:73:B1:03, 2019-07-08 13:25:28, 2019-07-08 13:25:28,  -1,        1, C8:3A:35:52:FC:18,
34:CE:00:A2:8B:34, 2019-07-08 13:26:12, 2019-07-08 13:34:09, -74,       14, (not associated) ,903
